"id","cat_id","sub_category_name","sub_category_image","status"
1,1,"Literary Fiction","literary_fiction.jpg","active"
2,1,"Contemporary Fiction","contemporary_fiction.jpg","active"
3,1,"Women's Fiction","womens_fiction.jpg","active"
4,1,"Family Saga","family_saga.jpg","active"
5,1,"Coming of Age","coming_of_age.jpg","active"
6,1,"Dystopian","dystopian.jpg","active"
7,1,"Post-Apocalyptic","post_apocalyptic.jpg","active"
8,1,"Alternate History","alternate_history.jpg","active"
9,2,"True Crime","true_crime.jpg","active"
10,2,"Essays","essays.jpg","active"
11,2,"Current Affairs","current_affairs.jpg","active"
12,2,"Politics","politics.jpg","active"
13,2,"Social Issues","social_issues.jpg","active"
14,2,"Environmental","environmental.jpg","active"
15,2,"Technology","technology.jpg","active"
16,2,"Economics","economics.jpg","active"
17,2,"Education","education.jpg","active"
18,3,"Contemporary Romance","contemporary_romance.jpg","active"
19,3,"Historical Romance","historical_romance.jpg","active"
20,3,"Paranormal Romance","paranormal_romance.jpg","active"
21,3,"Romantic Suspense","romantic_suspense.jpg","active"
22,3,"Erotic Romance","erotic_romance.jpg","active"
23,3,"LGBTQ+ Romance","lgbtq_romance.jpg","active"
24,3,"Holiday Romance","holiday_romance.jpg","active"
25,3,"Sports Romance","sports_romance.jpg","active"
26,3,"Romantic Comedy","romantic_comedy.jpg","active"
27,3,"Regency Romance","regency_romance.jpg","active"
28,4,"Police Procedural","police_procedural.jpg","active"
29,4,"Detective","detective.jpg","active"
30,4,"Cozy Mystery","cozy_mystery.jpg","active"
31,4,"Psychological Thriller","psychological_thriller.jpg","active"
32,4,"Legal Thriller","legal_thriller.jpg","active"
33,4,"Medical Thriller","medical_thriller.jpg","active"
34,4,"Espionage","espionage.jpg","active"
35,4,"Hard-boiled","hard_boiled.jpg","active"
36,4,"Nordic Noir","nordic_noir.jpg","active"
37,5,"Epic Fantasy","epic_fantasy.jpg","active"
38,5,"Urban Fantasy","urban_fantasy.jpg","active"
39,5,"High Fantasy","high_fantasy.jpg","active"
40,5,"Dark Fantasy","dark_fantasy.jpg","active"
41,5,"Sword and Sorcery","sword_sorcery.jpg","active"
42,5,"Portal Fantasy","portal_fantasy.jpg","active"
43,5,"Romantic Fantasy","romantic_fantasy.jpg","active"
44,5,"Steampunk","steampunk.jpg","active"
45,5,"Fairy Tale Retellings","fairy_tale_retellings.jpg","active"
46,6,"Space Opera","space_opera.jpg","active"
47,6,"Cyberpunk","cyberpunk.jpg","active"
48,6,"Time Travel","time_travel.jpg","active"
49,6,"Alien Invasion","alien_invasion.jpg","active"
50,6,"Dystopian Sci-Fi","dystopian_scifi.jpg","active"
51,6,"Military Sci-Fi","military_scifi.jpg","active"
52,6,"Hard Science Fiction","hard_scifi.jpg","active"
53,6,"Soft Science Fiction","soft_scifi.jpg","active"
54,6,"Biopunk","biopunk.jpg","active"
55,7,"Psychological Horror","psychological_horror.jpg","active"
56,7,"Supernatural Horror","supernatural_horror.jpg","active"
57,7,"Gothic Horror","gothic_horror.jpg","active"
58,7,"Zombie","zombie.jpg","active"
59,7,"Vampire","vampire.jpg","active"
60,7,"Werewolf","werewolf.jpg","active"
61,7,"Ghost Stories","ghost_stories.jpg","active"
62,7,"Cosmic Horror","cosmic_horror.jpg","active"
63,7,"Body Horror","body_horror.jpg","active"
64,8,"YA Fantasy","ya_fantasy.jpg","active"
65,8,"YA Romance","ya_romance.jpg","active"
66,8,"YA Contemporary","ya_contemporary.jpg","active"
67,8,"YA Dystopian","ya_dystopian.jpg","active"
68,8,"YA Mystery","ya_mystery.jpg","active"
69,8,"YA Science Fiction","ya_scifi.jpg","active"
70,8,"YA Horror","ya_horror.jpg","active"
71,8,"YA Historical Fiction","ya_historical.jpg","active"
72,9,"Picture Books","picture_books.jpg","active"
73,9,"Early Readers","early_readers.jpg","active"
74,9,"Middle Grade","middle_grade.jpg","active"
75,9,"Chapter Books","chapter_books.jpg","active"
76,9,"Children's Fantasy","childrens_fantasy.jpg","active"
77,9,"Children's Adventure","childrens_adventure.jpg","active"
78,9,"Educational","educational.jpg","active"
79,10,"Ancient History Fiction","ancient_history.jpg","active"
80,10,"Medieval Fiction","medieval_fiction.jpg","active"
81,10,"Renaissance Fiction","renaissance_fiction.jpg","active"
82,10,"Victorian Era","victorian_era.jpg","active"
83,10,"World War I","wwi_fiction.jpg","active"
84,10,"World War II","wwii_fiction.jpg","active"
85,10,"Civil War","civil_war.jpg","active"
86,10,"American Historical","american_historical.jpg","active"
